IngredientName,IngredientShortDescription,IngredientId,PortionUOMTypeId
"Sauce, Cheddar Cheese Sauce                        ","Sauce, Cheddar Cheese Sa                    ",338,15.0
"Chicken, Sliced Chicken  - Metric                  ","Chicken, Sliced Chicken                     ",339,
"Bag, Small Pre-Pack Cookie                         ","Bag, Small Pre-Pack Cook                    ",340,11.0
"Bag, Large Pre-Pack Cookie                         ","Bag, Large Pre-Pack Cook                    ",341,11.0
"Box, Catering Bulk Box                             ","Box, Catering Bulk Box                      ",342,11.0
Beef Brisket - Metric                              ,Beef Brisket - Metric                       ,343,13.0
"Soup, Frozen - Metric                              ","Soup, Frozen - Metric                       ",344,13.0
"Sauce, Thousand Island - Metric                    ","Sauce, Thousand Island -                    ",345,13.0
Bread Topping - Metric                             ,Bread Topping - Metric                      ,346,13.0
Toothpicks                                         ,Toothpicks                                  ,347,11.0
"Sauce, Zesty Tzatziki  Cucumber - Metric           ","Sauce, Zesty Tzatiki  Cu                    ",348,13.0
"Steak, Diced - Metric                              ","Steak, Diced - metric                       ",349,13.0
"Milk, Chocolate, Bottle                            ","Milk, Chocolate, Bottle                     ",350,11.0
v cbvbdfb                                          ,bdfbdbfbdfb                                 ,351,11.0
"Sauce, Chilli Sauce - Metric                       ","Sauce, Chilli Sauce - Metric                ",352,13.0
"Sauce, Tomato - Metric                             ","Sauce, Tomato - Metric                      ",353,13.0
"Bakery, Baked Bar                                  ","Bakery, Baked Bar                           ",354,11.0
"Egg, Whole Sanitized                               ","Egg, Whole Sanitized                        ",355,
"Smoothie, Caramel Concentrate                      ","Smoothie, Caramel Concentrate               ",356,15.0
"Smoothie, Mocha Concentrate                        ",Smoothie Mocha Concentrate                  ,357,15.0
"Sauce, Smoky Chili Lime Sauce                      ","Sauce, Smoky Chili Lime Sauce               ",358,15.0
"Olives, Green Olives Sliced                        ","Olives, Green Olives Sliced                 ",359,
"Cleaner, Rinse Dry                                 ","Cleaner, Rinse Dry                          ",360,11.0
"Sauce, Creamy Sriracha                             ","Sauce, Creamy Sriracha                      ",361,15.0
Mustard Glaze                                      ,Mustard Glaze                               ,362,15.0
"Seasoning, BBQ                                     ","Seasoning, BBQ                              ",363,11.0
"Salt, Portion Control Packet                       ","Salt, Portion Control Pa                    ",364,11.0
"Pepper, Portion Control Packet                     ","Pepper, Portion Control                     ",365,11.0
"Chili, Bowl                                        ","Chili, Bowl of Chili                        ",366,15.0
"Sauce, Creamy Pesto                                ","Sauce, Creamy Pesto                         ",367,
"Coffee, Single Serve portion                       ","Coffee, Single Serve Por                    ",368,11.0
"Tray, Catering Flat Tray                           ","Tray, Catering Flat Tray                    ",369,11.0
"Bag, Reusable Grocery                              ","Bag, Reusable Grocery                       ",370,11.0
"Beef, Beef Chili Colorado                          ",Beef Chili Colorado                         ,371,15.0
"Cup, Smoothie 12 oz. clear                         ","Cup, Smoothie 12 oz clea                    ",372,11.0
"Chicken, Enchilada Chicken                         ","Chicken, Enchilada Seaso                    ",373,15.0
"Beef, Prime Rib Steak                              ","Beef, Prime Rib Steak pieces                ",374,15.0
Chips as Sandwich Topping                          ,Chips as Sandwich Topping                   ,375,11.0
"Sauce, Caesar -  Metric                            ","Sauce, Caesar - Metric                      ",376,13.0
